EEG Sample Number,EEG Sample Time (s),EEG Signal,Trigger
45524,55.6091199000366,5,
45525,55.610010500007775,6,
45526,55.61084670003038,5,
45527,55.61137120000785,5,
45528,55.61355980002554,6,
45529,55.614457400050014,6,
45530,55.61536130000604,180,
45531,55.61731650005095,1011,
45532,55.618156300042756,1011,
45533,55.61905249999836,1011,
45534,55.62181760004023,1011,
45535,55.623015100019984,1011,
45536,55.623953700007405,1011,
45537,55.6256401000428,1010,
45538,55.62678930000402,606,
45539,55.6276993000065,6,
45540,55.62864629999967,5,
45541,55.629573600017466,5,
45542,55.63050250004744,5,
45543,55.631422200007364,5,
45544,55.63396070001181,5,
45545,55.63486170000397,5,
45546,55.63584260002244,104,
45547,55.63780150003731,1011,
45548,55.638877400022466,1011,
45549,55.64001890004147,1011,
45550,55.64190230000531,1011,
45551,55.642560500011314,1011,
45552,55.643539600016084,1010,
45553,55.64582650002558,1011,
45554,55.6467752000317,572,
45555,55.64770100003807,5,
45556,55.64862849999918,5,
45557,55.650063100038096,5,
45558,55.65087480004877,5,
45559,55.6514188000001,5,
45560,55.65229980001459,5,
45561,55.654373900033534,6,
45562,55.656044900009874,140,
45563,55.657096500042826,1010,
45564,55.65887440001825,1011,
45565,55.65986290003639,1011,
45566,55.66085949999979,1011,
45567,55.662407400028314,1011,
45568,55.66338850004831,1011,
45569,55.664316300011706,1010,
45570,55.66688830003841,580,
45571,55.66790190001484,5,
45572,55.6687338000047,6,
45573,55.670459800050594,6,
45574,55.6712996000424,5,
45575,55.672780100023374,5,
45576,55.67382920003729,5,
45577,55.67503480002051,6,
45578,55.67603720002808,101,
45579,55.677075600018725,1010,
45580,55.67918420000933,1011,
45581,55.68008160003228,1011,
45582,55.681002800003625,1012,
45583,55.68317030003527,1011,
45584,55.68411770003149,1011,
45585,55.68504410004243,1010,
45586,55.68684260000009,623,
45587,55.68785430002026,5,
45588,55.688944900000934,5,
45589,55.690228799998295,5,
45590,55.69120480003767,5,
45591,55.69225090002874,5,
45592,55.693200000037905,5,
45593,55.695054100011475,6,
45594,55.69591910002055,26,
45595,55.696848100051284,823,
45596,55.69920299999649,1011,
45597,55.70018100005109,1011,
45598,55.70106300001498,1011,
45599,55.701559000008274,1011,
45600,55.7038880000473,1011,
45601,55.705057300045155,1010,
45602,55.70606710005086,729,
45603,55.70784670003923,6,
45604,55.708858099998906,5,
45605,55.70977590000257,5,
45606,55.711451400013175,5,
45607,55.71220740000717,5,
45608,55.7131297000451,5,
45609,55.714052300027106,6,
45610,55.71605800004909,18,
45611,55.716952500049956,862,
45612,55.71795200003544,1010,
45613,55.719960600021295,1011,
45614,55.72095630003605,1011,
45615,55.72251839999808,1011,
45616,55.7242187000229,1011,
45617,55.725319600023795,1011,
45618,55.726350000011735,750,
45619,55.72778350004228,6,
45620,55.728627800010145,5,
45621,55.72947840002598,5,
45622,55.73034530004952,5,
45623,55.73240930004977,5,
45624,55.73334790003719,6,
45625,55.73430290003307,5,
45626,55.73636650003027,19,
45627,55.737293200043496,748,
45628,55.73847710003611,1011,
45629,55.74019400001271,1011,
45630,55.741433800023515,1011,
45631,55.74244719999842,1011,
45632,55.744201600027736,1011,
45633,55.745091999997385,1011,
45634,55.74595390004106,826,
45635,55.7468407000415,6,
45636,55.748282100015786,5,
